Title: SMAP Half Orbit Report
Period of Granule Date: 2015-05-01 -- 2015-05-31
Time of Report: 2019-07-01T18:33:48.068595
""
Summary of Generated Half Orbit Products
ProductType,# Products Produced,Produced GB,# Products Failed Processing,# Products Completed,# Products Executing,# Products Not Processed
p16020_l0b_radar,3,5.644,0,3,0,0
p16020_l0b_radiometer,2,1.069,0,2,0,0
p16020_l1a_radar,1,0.746,0,1,0,0
p16020_l1a_radiometer,93,69.968,0,75,0,0
p16020_l2_ft_a,120,2.356,0,93,0,0
p16020_l2_sm_a,16,1.563,0,9,0,0
p16020_l2_sm_ap,17,0.281,0,14,0,0
p16020_l2_sm_p,77,0.086,0,61,0,0
p16020_l2_sm_p_e,60,0.617,0,52,0,0
Total Listed Generated Half Orbit Products,389,82.329,0,310,0,0
